metric,Condition,mean,std,n,se,ci,ci_low,ci_high,task,metric_label
Animal,Original,14.8,1.224744871391589,25,0.2449489742783178,0.4800999895855029,14.319900010414498,15.280099989585503,Verbal fluency,Animal fluency
Animal,0.6Alpha_10000RandomNeurons,14.92,0.4,25,0.08,0.1568,14.7632,15.0768,Verbal fluency,Animal fluency
Animal,0.6Alpha_AllSigRandomNeurons,10.0,3.3911649915626336,25,0.6782329983125267,1.3293366766925523,8.670663323307448,11.329336676692552,Verbal fluency,Animal fluency
Animal,0.6Alpha_10000Neurons,14.08,2.5645012510557814,25,0.5129002502111563,1.0052844904138662,13.074715509586134,15.085284490413866,Verbal fluency,Animal fluency
Animal,0.6Alpha_AllSigNeurons,0.0,0.0,25,0.0,0.0,0.0,0.0,Verbal fluency,Animal fluency
Coref_score,Original,3.3,0.692218655243173,25,0.1384437310486346,0.27134971285532383,3.028650287144676,3.5713497128553238,Coreference resolution,Total score
Coref_score,0.6Alpha_10000RandomNeurons,3.76,0.8306623862918074,25,0.1661324772583615,0.32561965542638854,3.4343803445736114,4.085619655426388,Coreference resolution,Total score
Coref_score,0.6Alpha_AllSigRandomNeurons,2.08,1.469693845669907,25,0.29393876913398137,0.5761199875026035,1.5038800124973966,2.6561199875026036,Coreference resolution,Total score
Coref_score,0.6Alpha_10000Neurons,1.0,0.0,25,0.0,0.0,1.0,1.0,Coreference resolution,Total score
Coref_score,0.6Alpha_AllSigNeurons,-2.48,3.6069377593742864,25,0.7213875518748573,1.4139196016747202,-3.89391960167472,-1.0660803983252798,Coreference resolution,Total score
Letter,Original,11.28,3.2853208874223125,25,0.6570641774844626,1.2878457878695466,9.992154212130453,12.567845787869546,Verbal fluency,Letter fluency
Letter,0.6Alpha_10000RandomNeurons,10.4,3.4880749227427255,25,0.6976149845485451,1.3673253697151484,9.032674630284852,11.767325369715149,Verbal fluency,Letter fluency
Letter,0.6Alpha_AllSigRandomNeurons,6.88,3.8331884030573473,25,0.7666376806114694,1.50260985399848,5.37739014600152,8.38260985399848,Verbal fluency,Letter fluency
Letter,0.6Alpha_10000Neurons,9.24,5.9180514811323945,25,1.183610296226479,2.3198761806038988,6.920123819396101,11.559876180603899,Verbal fluency,Letter fluency
Letter,0.6Alpha_AllSigNeurons,0.0,0.0,25,0.0,0.0,0.0,0.0,Verbal fluency,Letter fluency
delay_entity_n,Original,6.96,0.13844373104863458,25,0.027688746209726917,0.05426994257106475,6.9057300574289355,7.014269942571064,Delayed recall,Entities recalled
delay_entity_n,0.6Alpha_10000RandomNeurons,7.0,0.0,25,0.0,0.0,7.0,7.0,Delayed recall,Entities recalled
delay_entity_n,0.6Alpha_AllSigRandomNeurons,6.8,0.40824829046386296,25,0.0816496580927726,0.16003332986183427,6.639966670138166,6.960033329861834,Delayed recall,Entities recalled
delay_entity_n,0.6Alpha_10000Neurons,6.92,0.18708286933869708,25,0.03741657386773942,0.07333648478076926,6.84666351521923,6.9933364847807695,Delayed recall,Entities recalled
delay_entity_n,0.6Alpha_AllSigNeurons,6.58,0.7455423082115014,25,0.14910846164230027,0.29225258481890853,6.287747415181092,6.872252584818908,Delayed recall,Entities recalled
delay_event_n,Original,11.46,0.45460605656619496,25,0.09092121131323899,0.17820557417394842,11.281794425826053,11.638205574173949,Delayed recall,Events recalled
delay_event_n,0.6Alpha_10000RandomNeurons,11.4,0.6454972243679028,25,0.12909944487358055,0.2530349119522179,11.146965088047782,11.653034911952219,Delayed recall,Events recalled
delay_event_n,0.6Alpha_AllSigRandomNeurons,10.72,1.1,25,0.22000000000000003,0.4312,10.2888,11.151200000000001,Delayed recall,Events recalled
delay_event_n,0.6Alpha_10000Neurons,11.44,0.48562674281111573,25,0.09712534856222314,0.19036568318195735,11.249634316818042,11.630365683181957,Delayed recall,Events recalled
delay_event_n,0.6Alpha_AllSigNeurons,9.94,1.2103718436910207,25,0.24207436873820415,0.4744657627268801,9.46553423727312,10.414465762726879,Delayed recall,Events recalled
dg_backward,Original,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DG backward
dg_backward,0.6Alpha_10000RandomNeurons,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DG backward
dg_backward,0.6Alpha_AllSigRandomNeurons,0.96,0.2,25,0.04,0.0784,0.8815999999999999,1.0384,Working memory,DG backward
dg_backward,0.6Alpha_10000Neurons,0.44,0.5066228051190221,25,0.10132456102380442,0.19859613960665667,0.24140386039334333,0.6385961396066566,Working memory,DG backward
dg_backward,0.6Alpha_AllSigNeurons,0.08,0.2768874620972691,25,0.05537749241945382,0.10853988514212948,-0.028539885142129476,0.1885398851421295,Working memory,DG backward
dg_forward,Original,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DG forward
dg_forward,0.6Alpha_10000RandomNeurons,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DG forward
dg_forward,0.6Alpha_AllSigRandomNeurons,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DG forward
dg_forward,0.6Alpha_10000Neurons,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DG forward
dg_forward,0.6Alpha_AllSigNeurons,0.36,0.48989794855663565,25,0.09797958971132713,0.19203999583420117,0.16796000416579882,0.5520399958342012,Working memory,DG forward
dglt_backward,Original,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DGLT backward
dglt_backward,0.6Alpha_10000RandomNeurons,0.96,0.2,25,0.04,0.0784,0.8815999999999999,1.0384,Working memory,DGLT backward
dglt_backward,0.6Alpha_AllSigRandomNeurons,0.08,0.2768874620972691,25,0.05537749241945382,0.10853988514212948,-0.028539885142129476,0.1885398851421295,Working memory,DGLT backward
dglt_backward,0.6Alpha_10000Neurons,0.0,0.0,25,0.0,0.0,0.0,0.0,Working memory,DGLT backward
dglt_backward,0.6Alpha_AllSigNeurons,0.0,0.0,25,0.0,0.0,0.0,0.0,Working memory,DGLT backward
dglt_forward,Original,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DGLT forward
dglt_forward,0.6Alpha_10000RandomNeurons,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DGLT forward
dglt_forward,0.6Alpha_AllSigRandomNeurons,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DGLT forward
dglt_forward,0.6Alpha_10000Neurons,1.0,0.0,25,0.0,0.0,1.0,1.0,Working memory,DGLT forward
dglt_forward,0.6Alpha_AllSigNeurons,0.28,0.45825756949558394,25,0.09165151389911678,0.1796369672422689,0.10036303275773112,0.45963696724226893,Working memory,DGLT forward
immediate_entity_n,Original,7.0,0.0,25,0.0,0.0,7.0,7.0,Immediate recall,Entities recalled
immediate_entity_n,0.6Alpha_10000RandomNeurons,6.92,0.2768874620972692,25,0.05537749241945385,0.10853988514212953,6.81146011485787,7.02853988514213,Immediate recall,Entities recalled
immediate_entity_n,0.6Alpha_AllSigRandomNeurons,6.88,0.33166247903553997,25,0.066332495807108,0.13001169178193167,6.749988308218068,7.010011691781932,Immediate recall,Entities recalled
immediate_entity_n,0.6Alpha_10000Neurons,6.98,0.09999999999999999,25,0.019999999999999997,0.03919999999999999,6.9408,7.0192000000000005,Immediate recall,Entities recalled
immediate_entity_n,0.6Alpha_AllSigNeurons,6.66,0.4725815626252608,25,0.09451631252505216,0.18525197254910222,6.4747480274508975,6.845251972549103,Immediate recall,Entities recalled
immediate_event_n,Original,11.38,0.5642103626603587,25,0.11284207253207175,0.22117046216286063,11.158829537837141,11.60117046216286,Immediate recall,Events recalled
immediate_event_n,0.6Alpha_10000RandomNeurons,11.4,0.6454972243679028,25,0.12909944487358055,0.2530349119522179,11.146965088047782,11.653034911952219,Immediate recall,Events recalled
immediate_event_n,0.6Alpha_AllSigRandomNeurons,10.64,0.9073771725877467,25,0.18147543451754936,0.3556918516543967,10.284308148345604,10.995691851654398,Immediate recall,Events recalled
immediate_event_n,0.6Alpha_10000Neurons,11.38,0.6812977811989899,25,0.13625955623979796,0.267068730230004,11.112931269769996,11.647068730230005,Immediate recall,Events recalled
immediate_event_n,0.6Alpha_AllSigNeurons,9.82,1.1075498483890764,25,0.22150996967781528,0.4341595405685179,9.385840459431483,10.254159540568518,Immediate recall,Events recalled
procedure_key_steps_score,Original,6.0,0.0,25,0.0,0.0,6.0,6.0,Procedural discourse,Key procedural steps
procedure_key_steps_score,0.6Alpha_10000RandomNeurons,6.0,0.0,25,0.0,0.0,6.0,6.0,Procedural discourse,Key procedural steps
procedure_key_steps_score,0.6Alpha_AllSigRandomNeurons,5.92,0.2768874620972691,25,0.05537749241945382,0.10853988514212948,5.81146011485787,6.02853988514213,Procedural discourse,Key procedural steps
procedure_key_steps_score,0.6Alpha_10000Neurons,6.0,0.0,25,0.0,0.0,6.0,6.0,Procedural discourse,Key procedural steps
procedure_key_steps_score,0.6Alpha_AllSigNeurons,2.64,3.0397368307141326,25,0.6079473661428265,1.19157683763994,1.44842316236006,3.83157683763994,Procedural discourse,Key procedural steps
scene_ep_span_rate,Original,0.9293718219345155,0.06533580358957183,25,0.013067160717914366,0.02561163500711216,0.9037601869274033,0.9549834569416277,Scene construction,Episodic details
scene_ep_span_rate,0.6Alpha_10000RandomNeurons,0.9172453102453102,0.08633488034513863,25,0.017266976069027724,0.03384327309529434,0.8834020371500159,0.9510885833406045,Scene construction,Episodic details
