task,metric,metric_label,contrast,comparison,scope,condition_a,condition_b,mean_a,mean_b,raw_mean_difference_a_minus_b,gee_estimate,se,z,p,family,pearson_ratio,n_obs,converged,q,significant_fdr
Verbal fluency,Animal,Animal fluency,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,14.92,14.8,0.11999999999999922,0.12000000000000036,0.25499803920814634,0.47059185385362273,0.6379322260260682,Gaussian identity,3.459166666666667,125,True,0.6379322260260682,False
Verbal fluency,Animal,Animal fluency,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,10.0,14.8,-4.800000000000001,-4.800000000000001,0.6374950980203666,-7.529469661657933,5.094682118248619e-14,Gaussian identity,3.459166666666667,125,True,1.0189364236497238e-13,True
Verbal fluency,Animal,Animal fluency,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,14.92,14.08,0.8399999999999999,0.8399999999999997,0.5143695169817126,1.6330672255406307,0.10245485872102089,Gaussian identity,3.459166666666667,125,True,0.13660647829469452,False
Verbal fluency,Animal,Animal fluency,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,10.0,0.0,10.0,10.0,0.6645299090334462,15.048231635721145,3.54586432917997e-51,Gaussian identity,3.459166666666667,125,True,1.418345731671988e-50,True
Verbal fluency,Letter,Letter fluency,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,10.4,11.28,-0.879999999999999,-0.8800000000000002,1.0281167248906982,-0.8559339408602222,0.3920343198753513,Gaussian identity,14.852500000000001,125,True,0.3920343198753513,False
Verbal fluency,Letter,Letter fluency,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,6.88,11.28,-4.3999999999999995,-4.4,1.0399999999999907,-4.230769230769269,2.3289350749510298e-05,Gaussian identity,14.852500000000001,125,True,4.6578701499020595e-05,True
Verbal fluency,Letter,Letter fluency,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,10.4,9.24,1.1600000000000001,1.1600000000000001,0.9272410689782891,1.251023103709356,0.21092604836636442,Gaussian identity,14.852500000000001,125,True,0.2812347311551526,False
Verbal fluency,Letter,Letter fluency,Random AllSig vs AD AllSig,random_vs_ad,AllSig,0.6Alpha_AllSigRandomNeurons,0.6Alpha_AllSigNeurons,6.88,0.0,6.88,6.879999999999999,0.7511484540355523,9.159307941109555,5.2231197677178155e-20,Gaussian identity,14.852500000000001,125,True,2.0892479070871262e-19,True
Coreference resolution,Coref_score,Total score,Random 10k vs Original,random_vs_original,10000,0.6Alpha_10000RandomNeurons,Original,3.76,3.3,0.45999999999999996,0.46,0.22076231562474416,2.083688960673508,0.0371884690278088,Gaussian identity,3.243416666666666,125,True,0.0371884690278088,True
Coreference resolution,Coref_score,Total score,Random AllSig vs Original,random_vs_original,AllSig,0.6Alpha_AllSigRandomNeurons,Original,2.08,3.3,-1.2199999999999998,-1.22,0.3287308929808679,-3.711242314153309,0.00020624455449916925,Gaussian identity,3.243416666666666,125,True,0.00027499273933222565,True
Coreference resolution,Coref_score,Total score,Random 10k vs AD 10k,random_vs_ad,10000,0.6Alpha_10000RandomNeurons,0.6Alpha_10000Neurons,3.76,1.0,2.76,2.76,0.1627759195950065,16.95582495781316,1.742977133231924e-64,Gaussian identity,3.243416666666666,125,True,6.971908532927696e-64,True
