ID,n_entities,n_events
004983f2ebf3d342,7.0,11.0
00810b15446476f2,7.0,12.0
008a0295237bc03c,7.0,11.0
020e5bdefc35a891,7.0,12.0
03a66d2d2ccee309,7.0,10.5
05c996e40516008a,6.5,10.5
0689d6220cba35ae,7.0,12.0
06d3243ea49f003d,7.0,11.0
0756f8f887591188,7.0,10.5
0789d8cec7990c9a,7.0,11.0
0835eb078a2fa15e,7.0,12.0
08655487b5c3f2b9,7.0,11.5
08ab51c4bcf6d716,7.0,12.0
090efd7069fe4985,7.0,12.0
0a6290a3f09a3845,7.0,12.0
0bb21389412211c9,7.0,11.5
0bce4efa07bb3d6d,7.0,11.0
0c148d6c7cde351f,7.0,11.5
0c40571ff093f733,7.0,12.0
0cd8c1bc060716fe,7.0,12.0
0cf495bb246f4da9,7.0,11.0
0d3a8f039b3d7773,7.0,11.0
0ecbe41a18307025,7.0,10.5
12c2c10c54973dd4,7.0,12.0
12f77e67b04c3d67,7.0,12.0
131c2dd1844bdfe7,7.0,11.0
14bdbf8dd374813c,7.0,12.0
1546ae3424c8d381,7.0,12.0
16d73b0e69e7c8f8,7.0,11.5
17d7513503f1fdc9,6.5,9.5
187baf5ccb217050,7.0,10.0
18e02765742df2b6,7.0,12.0
195fbbe46d95ca46,7.0,11.0
19ada4f0cc34597c,7.0,10.0
19b1d7d0d27ea129,7.0,12.0
1a50c0d46366469c,7.0,10.5
1a7a5b41e8d02365,7.0,12.0
1df8afb375db6660,7.0,12.0
1e010e5ff1803d4d,7.0,10.5
1f39e9e369bf45dd,7.0,11.0
206a1264a38e8fb8,7.0,12.0
20a0eb5bfebfb66e,7.0,12.0
20cc49e6f2d73b19,7.0,12.0
2161942e52a23578,7.0,12.0
22e2a194062351da,7.0,12.0
238d407b63554ec7,7.0,11.0
23e183a8a3b764ee,7.0,11.0
24f4e3beea47029f,7.0,12.0
252b57ebaed7b109,7.0,12.0
28b5456f71d78296,6.5,9.0
28f9eab79419bec8,7.0,11.0
298f4b165998bdff,7.0,11.5
2c3ae213716f612a,7.0,10.0
2cf1ee89fb0f8648,7.0,10.5
2cfe066e7f0a42bf,7.0,11.5
2e2bca8caef1f0cd,7.0,11.0
2ff74865b3f450d2,7.0,10.5
3019b1fe98a6ebda,7.0,9.0
328f4aaa16d167dc,5.5,7.5
33517136da0a38ec,7.0,10.5
335667d82e735b5f,7.0,9.5
33ed672f9d40ec98,6.5,9.5
34f8ee44074f85af,7.0,11.0
359ceaef7e9bdf9c,7.0,11.0
35ba37a804c12271,7.0,10.5
399db244224ad774,6.0,9.0
3ab90a4a5b3b459b,7.0,11.0
3ac22ffe1f4df9a2,7.0,11.5
3c3c590f82700da4,7.0,11.0
3e150e344fe66ce3,7.0,11.0
3f5cee714124527e,7.0,12.0
42b4e850b95810a9,7.0,9.0
4541e597a75d5be2,7.0,11.0
46dfb194bd69c579,7.0,12.0
475796b2015340ad,6.0,9.0
485823b171795194,7.0,11.5
4895af4c0bf521f3,7.0,11.0
49f1bc3262db7cb2,7.0,12.0
4a61492dd69bf489,7.0,11.0
4b06165225acd9bb,7.0,10.5
4b3202b712286e4a,7.0,11.0
4bfcb26058d4361f,7.0,10.5
4c1989454ed28c01,7.0,11.0
4d7499739ad68267,7.0,10.5
4f15f27d2c081d06,7.0,12.0
50efcf9bc52b713c,7.0,11.0
55ecd445df6d85fe,7.0,12.0
56063fb764c75ae0,7.0,11.0
5742684ce989c5fc,7.0,12.0
5784abc2212311e6,7.0,12.0
5a5493eb792b3be6,7.0,12.0
5c3ed3c2976d643a,7.0,11.0
5ed2b42d02952cd7,7.0,10.0
5f6d782b10aeeffe,7.0,12.0
60ff6fbaa1c380a5,7.0,12.0
6211320a780be800,7.0,12.0
62ede2259219000f,7.0,12.0
635315c809b0f27a,7.0,11.0
63681a7355cbc27c,7.0,12.0
66af74e04cd420e3,7.0,10.0
6874bddcd286e933,7.0,12.0
68d5de4fa4137a37,7.0,10.5
68e36f1138ec058c,7.0,11.0
6ab6bdc80101c38e,7.0,11.5
6b61cff8ae1c1623,7.0,12.0
6c11c546ebbe389b,7.0,11.5
6d5136127f367973,7.0,12.0
6fb8227dc3aeab42,7.0,12.0
7137fa6c40025199,7.0,12.0
7163f2b084889926,7.0,11.0
7264fcf8b370e3a7,7.0,12.0
73151ea643d99032,7.0,11.0
73a1a166f868eeec,7.0,11.0
74e502424e3640ef,7.0,10.5
7680a3e16d9bcc61,7.0,12.0
77b66a13657d4138,7.0,11.0
79bbc29022d940f6,7.0,11.0
7be539a818787310,7.0,12.0
7c81aadd82c606c1,7.0,11.5
7ce41d53535f173f,7.0,11.0
7e3e708779cce5f0,7.0,12.0
80f360bb80e9024e,7.0,11.0
81d20cfba9a33e39,7.0,11.0
822e7bc22251b9a2,7.0,11.0
8294dbafc136dedf,7.0,12.0
844ecbf955462354,6.5,10.5
845cc6bd73cc1785,7.0,12.0
8582e932a77dec79,7.0,12.0
860119a954365359,7.0,11.0
86909dcc208525cf,7.0,12.0
879a5817d65ae73f,7.0,11.0
88931135d35b172b,7.0,12.0
88affc35a4046761,7.0,12.0
896e45dc31afce47,7.0,11.0
8b63b3987b5c1b34,7.0,11.5
8de760d3fc4e4ee2,7.0,10.5
8eac65fb3663bc94,7.0,12.0
8fb1aa6e509c08f9,7.0,10.0
90d80625018427ae,7.0,11.5
962a612238eccf99,7.0,12.0
96cb95c46c571493,6.5,10.5
971a9d160a56ebdd,7.0,12.0
98596ace45ba1644,7.0,12.0
989b83536c021730,7.0,10.5
9a8a77a8e6221492,7.0,12.0
9a9ad1382b5ebaee,7.0,12.0
9b0e7c4a3bc187b0,6.5,10.5
9b706a401405cc89,7.0,12.0
9b735ed5e180d261,6.5,8.0
9edc6bad4bcf8e05,7.0,11.0
9efd1afa572715be,7.0,11.0
9f7ae44b4b31fd65,7.0,12.0
a0deca3df713b500,7.0,12.0
a39f725d34e2d0b5,7.0,12.0
a441bf6e4aac2320,7.0,11.5
a485f9521d6a9fcc,7.0,12.0
a4dd9cb08d2bb183,7.0,12.0
a4f1f1b06844e2c4,7.0,10.5
a533a03c3bd4f1d8,7.0,11.0
a6b9f2cf0185314d,7.0,12.0
a7748adde1db7e07,7.0,11.5
a8426571676d8535,7.0,11.0
a87621f3192a8d39,7.0,11.0
a93952b43ce46e04,6.5,9.5
aacec48a3ba6aefe,7.0,10.5
abca566961b17630,7.0,11.0
ac01e50aa00f838b,7.0,11.5
ae6a211d4f7a3e0a,7.0,12.0
af43910df5ffab34,7.0,11.5
b0f9b61b58cb15f8,7.0,11.0
b122d6cfce96ca30,7.0,11.0
b41710571d28bc74,7.0,11.5
b45c50cd638f3f88,7.0,12.0
b4ebe510f9dd9f51,7.0,11.0
b526db8602d047e0,7.0,12.0
b68377eaceb6dd0e,7.0,11.0
b6e897ee8cf608de,7.0,11.5
b997855405d06ece,7.0,11.0
ba35286c22ef0e7e,7.0,10.5
bd2be24455cc817c,7.0,11.0
bfca85dcb6c28b06,7.0,11.5
bfd6970592669574,7.0,12.0
c0ec6cf07923d1a4,7.0,11.0
c209640e2c50ae2c,7.0,12.0
c33c14ca66f10317,7.0,12.0
c3dcffa1b8f4a99e,7.0,11.5
c42ffb52722449f8,7.0,12.0
c490a8dfed3d06e7,7.0,10.5
c54d421f70ba5ca5,7.0,12.0
c69f8c83fd7f4cc6,7.0,10.5
c6f73bbad0ed2fa7,7.0,12.0
c72e46ecc063aee7,7.0,12.0
c99637b7b940af06,7.0,12.0
c9bdbb0778bf3f79,7.0,11.5
ca843b09d9b9dae5,7.0,11.0
cbd00532eb87dba7,7.0,12.0
cbe030967d3611a9,7.0,11.0
cee5fb5d412bb213,7.0,11.0
cf366409126fb0fb,6.5,10.0
d114cad7bfe72b23,7.0,12.0
d4ca3e13bac51d26,7.0,11.0
d6d0f0bbeeef090a,7.0,10.5
d74734acf9f88e1f,7.0,12.0
d75cab9b6b5bbfc1,7.0,11.0
d8f646f101f9d23f,7.0,11.0
da01fcab124f6d4c,7.0,12.0
da685f226197909a,7.0,11.0
db09fbd1984461ef,7.0,12.0
dbdd1a4867ca9932,7.0,11.0
dbf9fa58106587a7,7.0,12.0
dd29f0af30c2b17c,7.0,12.0
ddd7278c88b2ae74,6.5,9.0
de8166a2cd6683a0,7.0,11.0
defd4cd3b12a58df,7.0,10.0
df328a5e5c041cc5,7.0,10.5
e1878e6390ccd241,7.0,12.0
e1fa67adc5ec7811,7.0,11.5
e24f529222c8b8d8,5.5,7.5
e3b29d009d743d78,7.0,11.5
e5807248bb187728,7.0,11.0
e5c70509118ce67e,7.0,12.0
e8c7779dd0d6b1a0,7.0,12.0
e923a74326b19c11,7.0,12.0
ebeef2a7f5ab24d2,7.0,10.5
ec363af8842ac3ec,7.0,10.0
ee41baa46ab7f5be,7.0,11.0
ee55122eab899c35,7.0,11.0
ef39cccf154cf594,7.0,11.0
f1b9349ea5c11e45,7.0,10.0
f2725243a6af06bc,7.0,10.5
f36ac02295a3a66a,7.0,12.0
f38343524138e4d3,7.0,10.0
f3a42df4e0d2b630,7.0,10.5
f5282d9bf7c7a789,7.0,11.5
f55275897ac0066c,7.0,12.0
f5fbf51ce59afd29,7.0,10.5
f77e6444b60f2cba,7.0,11.0
f7b75d241b4a0253,7.0,11.0
f7b9290883c8c406,7.0,10.5
f8ececc0ad90e2d3,7.0,12.0
fa09d281263b793d,7.0,11.0
fbcc214774f05979,7.0,10.5
fbe8651cdffbb86d,7.0,11.0
fd0b7df51029544c,7.0,12.0
fdcfe3b16152f1a1,7.0,12.0
fe0daf76a6c0a82a,7.0,11.0
fe8b444021990a84,7.0,12.0
fecca9fe280b3d0e,7.0,12.0
ff0835b4dbb08b2b,7.0,12.0
ffcb2076b2a0402d,7.0,11.0
