condition,mean,std,n,se,ci,ci_low,ci_high,alpha,scope,p_adj,panel,folder,task,var,outcome
Original,7.0,0.0,25,0.0,0.0,7.0,7.0,0.0,Original,,0,immediate_recall,,n_entities,Entities
-0.6Alpha_2000Neurons,7.0,0.0,25,0.0,0.0,7.0,7.0,-0.6,2000,,0,immediate_recall,,n_entities,Entities
-0.6Alpha_10000Neurons,7.0,0.0,25,0.0,0.0,7.0,7.0,-0.6,10000,,0,immediate_recall,,n_entities,Entities
-0.6Alpha_AllSigNeurons,7.0,0.0,25,0.0,0.0,7.0,7.0,-0.6,AllSig,,0,immediate_recall,,n_entities,Entities
0.2Alpha_2000Neurons,7.0,0.0,25,0.0,0.0,7.0,7.0,0.2,2000,,0,immediate_recall,,n_entities,Entities
0.2Alpha_10000Neurons,7.0,0.0,25,0.0,0.0,7.0,7.0,0.2,10000,,0,immediate_recall,,n_entities,Entities
0.2Alpha_AllSigNeurons,6.96,0.13844373104863456,25,0.02768874620972691,0.05426994257106474,6.9057300574289355,7.014269942571064,0.2,AllSig,0.2829593539476913,0,immediate_recall,,n_entities,Entities
0.6Alpha_2000Neurons,6.98,0.09999999999999999,25,0.019999999999999997,0.03919999999999999,6.9408,7.0192000000000005,0.6,2000,0.3078198035081346,0,immediate_recall,,n_entities,Entities
0.6Alpha_10000Neurons,6.98,0.09999999999999999,25,0.019999999999999997,0.03919999999999999,6.9408,7.0192000000000005,0.6,10000,0.3078198035081346,0,immediate_recall,,n_entities,Entities
0.6Alpha_AllSigNeurons,6.66,0.4725815626252608,25,0.09451631252505216,0.18525197254910222,6.4747480274508975,6.845251972549103,0.6,AllSig,0.0013555420054447,0,immediate_recall,,n_entities,Entities
Original,11.38,0.5642103626603587,25,0.11284207253207175,0.22117046216286063,11.158829537837141,11.60117046216286,0.0,Original,,1,immediate_recall,,n_events,Events
-0.6Alpha_2000Neurons,11.46,0.6110100926607787,25,0.12220201853215573,0.23951595632302522,11.220484043676976,11.699515956323026,-0.6,2000,0.7470425895441971,1,immediate_recall,,n_events,Events
-0.6Alpha_10000Neurons,11.18,0.7621242243449117,25,0.15242484486898233,0.29875269594320536,10.881247304056794,11.478752695943205,-0.6,10000,0.6513287357402565,1,immediate_recall,,n_events,Events
