condition,mean,std,n,se,ci,ci_low,ci_high,alpha,scope,p_adj,task_index,folder,task_label,var,outcome
Original,0.4167463962263555,0.024180118744227826,25,0.0048360237488455655,0.009478606547737307,0.4072677896786182,0.4262250027740928,0.0,Original,,0,immediate_recall,"Immediate
recall",DEPID_R,"Propositional
idea density"
-0.6Alpha_2000Neurons,0.4099310308615069,0.027195982931573322,25,0.005439196586314665,0.010660825309176742,0.39927020555233017,0.4205918561706836,-0.6,2000,0.5744418915719626,0,immediate_recall,"Immediate
recall",DEPID_R,"Propositional
idea density"
-0.6Alpha_10000Neurons,0.40572411971011685,0.014970366877292102,25,0.0029940733754584203,0.005868383815898504,0.39985573589421836,0.41159250352601534,-0.6,10000,0.5744418915719626,0,immediate_recall,"Immediate
recall",DEPID_R,"Propositional
idea density"
-0.6Alpha_AllSigNeurons,0.41577311848296383,0.015511990615456812,25,0.0031023981230913623,0.00608070032125907,0.40969241816170476,0.4218538188042229,-0.6,AllSig,0.7313182955996801,0,immediate_recall,"Immediate
recall",DEPID_R,"Propositional
idea density"
0.2Alpha_2000Neurons,0.41404172858983335,0.02704888277410488,25,0.005409776554820976,0.010603162047449113,0.40343856654238425,0.42464489063728245,0.2,2000,0.8570426628952108,0,immediate_recall,"Immediate
recall",DEPID_R,"Propositional
idea density"
0.2Alpha_10000Neurons,0.4225724890263225,0.030310477096334134,25,0.006062095419266827,0.01188170702176298,0.4106907820045595,0.4344541960480855,0.2,10000,0.8015767716509238,0,immediate_recall,"Immediate
recall",DEPID_R,"Propositional
idea density"
0.2Alpha_AllSigNeurons,0.42430212912889054,0.03951951365453127,25,0.007903902730906253,0.015491649352576256,0.4088104797763143,0.4397937784814668,0.2,AllSig,0.7313182955996801,0,immediate_recall,"Immediate
recall",DEPID_R,"Propositional
idea density"
0.6Alpha_2000Neurons,0.43006411979077674,0.026660036223749437,25,0.005332007244749888,0.01045073419970978,0.419613385591067,0.4405148539904865,0.6,2000,0.5744418915719626,0,immediate_recall,"Immediate
recall",DEPID_R,"Propositional
idea density"
0.6Alpha_10000Neurons,0.4159395958344138,0.019999577500735114,25,0.0039999155001470225,0.007839834380288164,0.40809976145412563,0.423779430214702,0.6,10000,0.1444162264525545,0,immediate_recall,"Immediate
recall",DEPID_R,"Propositional
idea density"
0.6Alpha_AllSigNeurons,0.3561372412053606,0.03545657094259497,25,0.007091314188518993,0.013898975809497227,0.3422382653958634,0.37003621701485784,0.6,AllSig,7.009815924851818e-11,0,immediate_recall,"Immediate
recall",DEPID_R,"Propositional
idea density"
Original,0.4146651201694833,0.02214221257189075,25,0.004428442514378151,0.008679747328181175,0.40598537284130215,0.4233448674976645,0.0,Original,,1,delayed_recall,"Delayed
recall",DEPID_R,"Propositional
idea density"
-0.6Alpha_2000Neurons,0.41057045745560056,0.025723089365269434,25,0.005144617873053887,0.010083451031185619,0.4004870064244149,0.4206539084867862,-0.6,2000,0.6631117977573197,1,delayed_recall,"Delayed
recall",DEPID_R,"Propositional
idea density"
-0.6Alpha_10000Neurons,0.4058398344864127,0.015215373165973418,25,0.0030430746331946835,0.0059644262810615795,0.3998754082053511,0.4118042607674743,-0.6,10000,0.6631117977573197,1,delayed_recall,"Delayed
recall",DEPID_R,"Propositional
idea density"
-0.6Alpha_AllSigNeurons,0.4153796501000089,0.015789769875993606,25,0.003157953975198721,0.0061895897913894935,0.4091900603086194,0.4215692398913984,-0.6,AllSig,0.6631117977573197,1,delayed_recall,"Delayed
recall",DEPID_R,"Propositional
idea density"
0.2Alpha_2000Neurons,0.4131495134013713,0.02670550843813978,25,0.005341101687627956,0.010468559307750794,0.4026809540936205,0.4236180727091221,0.2,2000,0.8026781905372784,1,delayed_recall,"Delayed
recall",DEPID_R,"Propositional
idea density"
0.2Alpha_10000Neurons,0.4163004185328784,0.028748988185974263,25,0.0057497976371948525,0.01126960336890191,0.4050308151639765,0.42757002190178034,0.2,10000,0.8026781905372784,1,delayed_recall,"Delayed
recall",DEPID_R,"Propositional
idea density"
0.2Alpha_AllSigNeurons,0.42200162064965996,0.02850174885983032,25,0.0057003497719660635,0.011172685553053485,0.41082893509660645,0.43317430620271347,0.2,AllSig,0.7184773689142444,1,delayed_recall,"Delayed
recall",DEPID_R,"Propositional
idea density"
0.6Alpha_2000Neurons,0.4283005504871193,0.025349805437271722,25,0.0050699610874543445,0.009937123731410515,0.41836342675570876,0.4382376742185298,0.6,2000,0.6631117977573197,1,delayed_recall,"Delayed
recall",DEPID_R,"Propositional
idea density"
0.6Alpha_10000Neurons,0.4116875074938308,0.02003238239990145,25,0.00400647647998029,0.00785269390076137,0.40383481359306944,0.4195402013945922,0.6,10000,0.023064842247415,1,delayed_recall,"Delayed
recall",DEPID_R,"Propositional
idea density"
0.6Alpha_AllSigNeurons,0.3860115429982077,0.027157843998838405,25,0.005431568799767681,0.010645874847544656,0.3753656681506631,0.39665741784575237,0.6,AllSig,4.5626667396521855e-10,1,delayed_recall,"Delayed
recall",DEPID_R,"Propositional
idea density"
Original,0.41969166245566164,0.024649902951234058,25,0.004929980590246812,0.009662761956883752,0.4100289004987779,0.4293544244125454,0.0,Original,,2,scene_construction,"Scene
construction",DEPID_R,"Propositional
idea density"
-0.6Alpha_2000Neurons,0.41435331157838723,0.021746488381054172,25,0.004349297676210834,0.008524623445373235,0.405828688133014,0.4228779350237605,-0.6,2000,0.6687714965082746,2,scene_construction,"Scene
construction",DEPID_R,"Propositional
idea density"
-0.6Alpha_10000Neurons,0.42739853759298213,0.018448197542566998,25,0.0036896395085133996,0.007231693436686263,0.42016684415629585,0.4346302310296684,-0.6,10000,0.6687714965082746,2,scene_construction,"Scene
construction",DEPID_R,"Propositional
idea density"
-0.6Alpha_AllSigNeurons,0.4200280845710372,0.020492572506553425,25,0.004098514501310685,0.008033088422568942,0.41199499614846824,0.42806117299360613,-0.6,AllSig,0.9578852794504802,2,scene_construction,"Scene
construction",DEPID_R,"Propositional
idea density"
0.2Alpha_2000Neurons,0.415944250161028,0.028003741770759833,25,0.0056007483541519664,0.010977466774137854,0.40496678338689013,0.42692171693516584,0.2,2000,0.8278079319952207,2,scene_construction,"Scene
construction",DEPID_R,"Propositional
idea density"
0.2Alpha_10000Neurons,0.40848253741510765,0.02973553213957069,25,0.005947106427914138,0.01165632859871171,0.39682620881639596,0.42013886601381933,0.2,10000,0.6687714965082746,2,scene_construction,"Scene
construction",DEPID_R,"Propositional
idea density"
0.2Alpha_AllSigNeurons,0.42949083776887936,0.022036247144405267,25,0.004407249428881053,0.008638208880606865,0.4208526288882725,0.4381290466494862,0.2,AllSig,0.6687714965082746,2,scene_construction,"Scene
construction",DEPID_R,"Propositional
idea density"
0.6Alpha_2000Neurons,0.4190944487216259,0.018841866926352785,25,0.003768373385270557,0.007386011835130292,0.4117084368864956,0.42648046055675615,0.6,2000,0.9578852794504802,2,scene_construction,"Scene
construction",DEPID_R,"Propositional
idea density"
0.6Alpha_10000Neurons,0.41756926501136477,0.024391862409503643,25,0.004878372481900728,0.009561610064525427,0.4080076549468393,0.4271308750758902,0.6,10000,0.9578852794504802,2,scene_construction,"Scene
construction",DEPID_R,"Propositional
idea density"
0.6Alpha_AllSigNeurons,0.40724218832802755,0.07328102670010363,25,0.014656205340020725,0.028726162466440622,0.37851602586158695,0.43596835079446816,0.6,AllSig,0.7740011253675988,2,scene_construction,"Scene
construction",DEPID_R,"Propositional
idea density"
Original,10.0877374458832,0.1664529020327687,25,0.033290580406553735,0.06524953759684532,10.022487908286354,10.152986983480044,0.0,Original,,0,immediate_recall,"Immediate
recall",LexicalH,"Lexical
surprisal"
