task,var,condition,pearson_ratio,family,beta,se,z,p,n_obs,p_adj
animal,total_num,0.2Alpha_2000Neurons,0.13960167717139957,Gamma,0.007040779123565409,0.018372561801577515,0.3832225031873818,0.7015547941896598,250,0.7015547941896598
animal,total_num,0.2Alpha_10000Neurons,0.13960167717139957,Gamma,-0.021475194940194346,0.03314022101895009,-0.6480100095866741,0.5169784762639293,250,0.7015547941896598
animal,total_num,0.2Alpha_AllSigNeurons,0.13960167717139957,Gamma,-0.14374422249238714,0.08489413848430848,-1.693217282827557,0.09041411606449279,250,0.27124234819347837
animal,total_num,0.6Alpha_2000Neurons,0.13960167717139957,Gamma,0.009694113711448009,0.018118004399506057,0.5350541647794442,0.5926124033215454,250,0.7015547941896598
animal,total_num,0.6Alpha_10000Neurons,0.13960167717139957,Gamma,-0.05232799753028187,0.028401497334658153,-1.8424379853532007,0.06541110982146457,250,0.27124234819347837
animal,total_num,0.6Alpha_AllSigNeurons,0.13960167717139957,Gamma,-78.81520290355087,0.2007096328932596,-392.6827116736643,0.0,250,0.0
animal,total_num,-0.6Alpha_2000Neurons,0.13960167717139957,Gamma,0.010104889417034664,0.018868435491809755,0.5355446359832486,0.5922733007998223,250,0.7015547941896598
animal,total_num,-0.6Alpha_10000Neurons,0.13960167717139957,Gamma,0.01225616834360233,0.017864273546391373,0.6860714661457984,0.4926680432199039,250,0.7015547941896598
animal,total_num,-0.6Alpha_AllSigNeurons,0.13960167717139957,Gamma,0.008896035191275353,0.01877905665652045,0.47372109014786307,0.6356988118337001,250,0.7015547941896598
animal,correctness_ratio,0.2Alpha_2000Neurons,0.015141646090534979,Gaussian,0.008000000000000005,0.016576288285783034,0.4826170890657926,0.629367642926456,250,0.629367642926456
animal,correctness_ratio,0.2Alpha_10000Neurons,0.015141646090534979,Gaussian,-0.021333333333333346,0.030572609382329717,-0.6977923626520258,0.48530705603886304,250,0.629367642926456
animal,correctness_ratio,0.2Alpha_AllSigNeurons,0.015141646090534979,Gaussian,-0.11733333333333336,0.06674981481455917,-1.7578076232765987,0.07878024780495813,250,0.23634074341487438
animal,correctness_ratio,0.6Alpha_2000Neurons,0.015141646090534979,Gaussian,0.010666666666666642,0.01629942057593354,0.6544199910036198,0.512841258414293,250,0.629367642926456
