var,condition,pearson_ratio,family,beta,se,z,p,n_obs,p_adj
dg_forward_error,0.2Alpha_2000Neurons,0.024000000000000004,Gaussian,2.1382175319669132e-18,2.7784259471352314e-09,7.695787372600584e-10,0.999999999385965,250,0.999999999385965
dg_forward_error,0.2Alpha_10000Neurons,0.024000000000000004,Gaussian,7.99707607776989e-18,2.666381025092076e-09,2.9992247928983573e-09,0.9999999976069649,250,0.999999999385965
dg_forward_error,0.2Alpha_AllSigNeurons,0.024000000000000004,Gaussian,5.115070404001159e-18,2.666381025092077e-09,1.9183568874311658e-09,0.9999999984693727,250,0.999999999385965
dg_forward_error,0.6Alpha_2000Neurons,0.024000000000000004,Gaussian,9.678469924613533e-18,2.7646686731182523e-09,3.500770279896595e-09,0.9999999972067894,250,0.999999999385965
dg_forward_error,0.6Alpha_10000Neurons,0.024000000000000004,Gaussian,5.973066921041662e-18,2.6520425900385127e-09,2.2522515073767806e-09,0.9999999982029633,250,0.999999999385965
dg_forward_error,0.6Alpha_AllSigNeurons,0.024000000000000004,Gaussian,0.64,0.09600000000000133,6.666666666666575,2.616784937212232e-11,250,2.355106443491009e-10
dg_forward_error,-0.6Alpha_2000Neurons,0.024000000000000004,Gaussian,7.400764882902848e-18,2.701894233672612e-09,2.739102364063743e-09,0.9999999978145125,250,0.999999999385965
dg_forward_error,-0.6Alpha_10000Neurons,0.024000000000000004,Gaussian,3.5285193731308755e-18,2.655634456636759e-09,1.328691666999827e-09,0.9999999989398575,250,0.999999999385965
dg_forward_error,-0.6Alpha_AllSigNeurons,0.024000000000000004,Gaussian,2.990409293794034e-18,2.6839246180534483e-09,1.1141927286925323e-09,0.9999999991110028,250,0.999999999385965
dg_backward_error,0.2Alpha_2000Neurons,0.033222222222222215,Gaussian,-8.28963929206282e-18,1.6783877227468377e-09,-4.939049052680185e-09,0.999999996059209,250,0.999999996059209
dg_backward_error,0.2Alpha_10000Neurons,0.033222222222222215,Gaussian,-1.409064627951511e-17,1.6783877227468369e-09,-8.39534637232359e-09,0.9999999933014827,250,0.999999996059209
dg_backward_error,0.2Alpha_AllSigNeurons,0.033222222222222215,Gaussian,-1.5140703864100867e-17,1.678387722746835e-09,-9.020981063494507e-09,0.9999999928022985,250,0.999999996059209
dg_backward_error,0.6Alpha_2000Neurons,0.033222222222222215,Gaussian,-9.322843872434518e-18,1.67838772274684e-09,-5.5546425573089896e-09,0.9999999955680364,250,0.999999996059209
dg_backward_error,0.6Alpha_10000Neurons,0.033222222222222215,Gaussian,0.56,0.09927738916792825,5.640760748177583,1.6930047261172847e-08,250,7.618521267527782e-08
dg_backward_error,0.6Alpha_AllSigNeurons,0.033222222222222215,Gaussian,0.92,0.05425863986500297,16.955824957812915,1.7429771332391814e-64,250,1.5686794199152632e-63
dg_backward_error,-0.6Alpha_2000Neurons,0.033222222222222215,Gaussian,-1.0345788622174618e-17,1.7883720826024556e-09,-5.785031382909607e-09,0.9999999953842128,250,0.999999996059209
dg_backward_error,-0.6Alpha_10000Neurons,0.033222222222222215,Gaussian,-1.439497980068439e-17,1.7121250407773043e-09,-8.407668515933319e-09,0.9999999932916511,250,0.999999996059209
dg_backward_error,-0.6Alpha_AllSigNeurons,0.033222222222222215,Gaussian,-1.7252956772359672e-17,1.509511293645791e-09,-1.1429498305170087e-08,0.9999999908805798,250,0.999999996059209
dglt_forward_error,0.2Alpha_2000Neurons,0.021,Gaussian,2.6003913101766985e-18,,,,250,
dglt_forward_error,0.2Alpha_10000Neurons,0.021,Gaussian,1.0337543219377153e-20,,,,250,
dglt_forward_error,0.2Alpha_AllSigNeurons,0.021,Gaussian,2.852793103167227e-18,,,,250,
dglt_forward_error,0.6Alpha_2000Neurons,0.021,Gaussian,5.857060464430087e-19,,,,250,
dglt_forward_error,0.6Alpha_10000Neurons,0.021,Gaussian,4.633489948364097e-18,,,,250,
dglt_forward_error,0.6Alpha_AllSigNeurons,0.021,Gaussian,0.72,0.08979977728257567,8.017837257372635,1.0762326697529164e-15,250,1.0762326697529164e-15
dglt_forward_error,-0.6Alpha_2000Neurons,0.021,Gaussian,3.39478592678074e-18,,,,250,
dglt_forward_error,-0.6Alpha_10000Neurons,0.021,Gaussian,-1.1569880716429806e-18,,,,250,
dglt_forward_error,-0.6Alpha_AllSigNeurons,0.021,Gaussian,-9.457820523639424e-20,,,,250,
